annotator_labels,captionID,gold_label,pairID,sentence1,sentence1_binary_parse,sentence1_parse,sentence2,sentence2_binary_parse,sentence2_parse
"['neutral', 'neutral', 'neutral', 'contradiction', 'contradiction']",375797597.jpg#0,neutral,375797597.jpg#0r1n,"A bald, black man wearing safety glasses and a long-sleeved black shirt is using a pick and hammer to sculpt a sizable rock into art.","( ( ( A ( bald ( , ( black man ) ) ) ) ( wearing ( ( ( safety glasses ) and ) ( a ( long-sleeved ( black shirt ) ) ) ) ) ) ( ( is ( ( using ( a ( ( pick and ) hammer ) ) ) ( to ( ( sculpt ( a ( sizable rock ) ) ) ( into art ) ) ) ) ) . ) )","(ROOT (S (NP (NP (DT A) (JJ bald) (, ,) (JJ black) (NN man)) (VP (VBG wearing) (NP (NP (NN safety) (NNS glasses)) (CC and) (NP (DT a) (JJ long-sleeved) (JJ black) (NN shirt))))) (VP (VBZ is) (VP (VBG using) (NP (DT a) (NN pick) (CC and) (NN hammer)) (S (VP (TO to) (VP (VB sculpt) (NP (DT a) (JJ sizable) (NN rock)) (PP (IN into) (NP (NN art)))))))) (. .)))",A black man with no hair is wearing his safety glasses around his neck.,( ( ( A ( black man ) ) ( with ( no hair ) ) ) ( ( is ( ( wearing ( his ( safety glasses ) ) ) ( around ( his neck ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (JJ black) (NN man)) (PP (IN with) (NP (DT no) (NN hair)))) (VP (VBZ is) (VP (VBG wearing) (NP (PRP$ his) (NN safety) (NNS glasses)) (PP (IN around) (NP (PRP$ his) (NN neck))))) (. .)))
"['contradiction', 'entailment', 'entailment', 'entailment', 'entailment']",4881309019.jpg#0,entailment,4881309019.jpg#0r1c,A long jumper takes flight in an attempt to jump the longest distance possible in a track competition.,( ( A ( long jumper ) ) ( ( ( takes flight ) ( in ( an ( attempt ( to ( jump ( ( the ( longest distance ) ) ( possible ( in ( a ( track competition ) ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (JJ long) (NN jumper)) (VP (VBZ takes) (NP (NN flight)) (PP (IN in) (NP (DT an) (NN attempt) (S (VP (TO to) (VP (VB jump) (S (NP (DT the) (JJS longest) (NN distance)) (ADJP (JJ possible) (PP (IN in) (NP (DT a) (NN track) (NN competition))))))))))) (. .))),A long jumper is jumping a hurdle.,( ( A ( long jumper ) ) ( ( is ( jumping ( a hurdle ) ) ) . ) ),(ROOT (S (NP (DT A) (JJ long) (NN jumper)) (VP (VBZ is) (VP (VBG jumping) (NP (DT a) (NN hurdle)))) (. .)))
"['neutral', 'entailment', 'neutral', 'entailment', 'neutral']",425706089.jpg#4,neutral,425706089.jpg#4r1n,Two men outside of a restaurant.,( ( ( Two men ) ( outside ( of ( a restaurant ) ) ) ) . ),(ROOT (NP (NP (CD Two) (NNS men)) (PP (JJ outside) (IN of) (NP (DT a) (NN restaurant))) (. .))),Two men are sitting on the restaurant patio.,( ( Two men ) ( ( are ( sitting ( on ( the ( restaurant patio ) ) ) ) ) . ) ),(ROOT (S (NP (CD Two) (NNS men)) (VP (VBP are) (VP (VBG sitting) (PP (IN on) (NP (DT the) (NN restaurant) (NN patio))))) (. .)))
"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",3019747321.jpg#2,neutral,3019747321.jpg#2r1n,Men in an office with computers and a projector screen.,( ( ( Men ( in ( an office ) ) ) ( with ( ( computers and ) ( a ( projector screen ) ) ) ) ) . ),(ROOT (NP (NP (NNS Men)) (PP (IN in) (NP (DT an) (NN office))) (PP (IN with) (NP (NP (NNS computers)) (CC and) (NP (DT a) (NN projector) (NN screen)))) (. .))),The men are preparing for a presentation.,( ( The men ) ( ( are ( preparing ( for ( a presentation ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NNS men)) (VP (VBP are) (VP (VBG preparing) (PP (IN for) (NP (DT a) (NN presentation))))) (. .)))
"['contradiction', 'neutral', 'neutral', 'neutral', 'contradiction']",5104045.jpg#0,neutral,5104045.jpg#0r1c,Several people are laying on the floor sleeping covered by blankets.,( ( Several people ) ( ( are ( laying ( on ( ( the ( floor sleeping ) ) ( covered ( by blankets ) ) ) ) ) ) . ) ),(ROOT (S (NP (JJ Several) (NNS people)) (VP (VBP are) (VP (VBG laying) (PP (IN on) (NP (NP (DT the) (NN floor) (NN sleeping)) (VP (VBN covered) (PP (IN by) (NP (NNS blankets)))))))) (. .))),A group of people fight in their dreams,( ( ( A group ) ( of people ) ) ( fight ( in ( their dreams ) ) ) ),(ROOT (NP (NP (NP (DT A) (NN group)) (PP (IN of) (NP (NNS people)))) (NP (NP (NN fight)) (PP (IN in) (NP (PRP$ their) (NNS dreams))))))
"['contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction']",1145781754.jpg#0,contradiction,1145781754.jpg#0r1c,Four men with baseball caps and logo t-shirts laughing together at a table.,( ( ( ( Four men ) ( with ( baseball ( caps ( and ( logo t-shirts ) ) ) ) ) ) ( ( laughing together ) ( at ( a table ) ) ) ) . ),(ROOT (NP (NP (NP (CD Four) (NNS men)) (PP (IN with) (NP (NN baseball) (NNS caps) (CC and) (NN logo) (NNS t-shirts)))) (VP (VBG laughing) (ADVP (RB together)) (PP (IN at) (NP (DT a) (NN table)))) (. .))),The men are selling clothes in a sports store.,( ( The men ) ( ( are ( selling ( clothes ( in ( a ( sports store ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NNS men)) (VP (VBP are) (VP (VBG selling) (NP (NP (NNS clothes)) (PP (IN in) (NP (DT a) (NNS sports) (NN store)))))) (. .)))
"['neutral', 'entailment', 'entailment', 'entailment', 'entailment']",2713036593.jpg#3,entailment,2713036593.jpg#3r1n,"A man is sitting on the floor, sleeping.","( ( A man ) ( ( is ( ( ( sitting ( on ( the floor ) ) ) , ) sleeping ) ) . ) )","(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VP (VBG sitting) (PP (IN on) (NP (DT the) (NN floor)))) (, ,) (VP (VBG sleeping)))) (. .)))",A young man is sleeping while in the sitting position.,( ( A ( young man ) ) ( ( is ( sleeping ( while ( in ( the ( sitting position ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (JJ young) (NN man)) (VP (VBZ is) (VP (VBG sleeping) (NP (NP (NN while)) (PP (IN in) (NP (DT the) (VBG sitting) (NN position)))))) (. .)))
"['entailment', 'entailment', 'entailment', 'entailment', 'entailment']",372243070.jpg#0,entailment,372243070.jpg#0r1e,A caucasian man wearing red plaid bottoms and a black vest with large buttons with a tattoo on one arm has an upside down unicycle balancing on his mouth.,( ( ( A ( caucasian man ) ) ( ( wearing ( ( ( red ( plaid bottoms ) ) and ) ( a ( black vest ) ) ) ) ( with ( ( large buttons ) ( with ( ( a tattoo ) ( on ( one arm ) ) ) ) ) ) ) ) ( ( has ( ( an ( ( ( upside down ) unicycle ) balancing ) ) ( on ( his mouth ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (JJ caucasian) (NN man)) (VP (VBG wearing) (NP (NP (JJ red) (JJ plaid) (NNS bottoms)) (CC and) (NP (DT a) (JJ black) (NN vest))) (PP (IN with) (NP (NP (JJ large) (NNS buttons)) (PP (IN with) (NP (NP (DT a) (NN tattoo)) (PP (IN on) (NP (CD one) (NN arm))))))))) (VP (VBZ has) (NP (NP (DT an) (ADJP (ADVP (RB upside) (RB down)) (JJ unicycle)) (NN balancing)) (PP (IN on) (NP (PRP$ his) (NN mouth))))) (. .))),A man is holding a unicycle in a curious manner.,( ( A man ) ( ( is ( holding ( ( a unicycle ) ( in ( a ( curious manner ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG holding) (NP (NP (DT a) (NN unicycle)) (PP (IN in) (NP (DT a) (JJ curious) (NN manner)))))) (. .)))
"['neutral', 'neutral', 'neutral', 'neutral', 'entailment']",3609448700.jpg#3,neutral,3609448700.jpg#3r1n,Many roller derby players skating around the rink.,( ( Many ( roller ( derby players ) ) ) ( ( skating ( around ( the rink ) ) ) . ) ),(ROOT (S (NP (JJ Many) (NN roller) (NN derby) (NNS players)) (VP (VBD skating) (PP (IN around) (NP (DT the) (NN rink)))) (. .))),roller derby players skating around the rink at practice.,( ( roller ( derby players ) ) ( ( ( skating ( around ( the rink ) ) ) ( at practice ) ) . ) ),(ROOT (S (NP (NN roller) (NN derby) (NNS players)) (VP (VBD skating) (PP (IN around) (NP (DT the) (NN rink))) (PP (IN at) (NP (NN practice)))) (. .)))
"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",209605542.jpg#0,neutral,209605542.jpg#0r1n,a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.,( ( ( a climber ) ( wearing ( a ( red headband ) ) ) ) ( ( is ( ( ( pulling himself ) up ) ( ( ( some ( gray rocks ) ) high ) ( above ( some ( green foliage ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT a) (NN climber)) (VP (VBG wearing) (NP (DT a) (JJ red) (NN headband)))) (VP (VBZ is) (VP (VBG pulling) (NP (PRP himself)) (PRT (RP up)) (PP (ADVP (NP (DT some) (JJ gray) (NNS rocks)) (RB high)) (IN above) (NP (DT some) (JJ green) (NN foliage))))) (. .))),A climber pulls himself up 5000 feet up over a forest,( ( A climber ) ( ( ( pulls himself ) ( ( ( up 5000 ) feet ) up ) ) ( over ( a forest ) ) ) ),(ROOT (S (NP (DT A) (NN climber)) (VP (VBZ pulls) (NP (PRP himself)) (ADVP (NP (QP (RB up) (CD 5000)) (NNS feet)) (RB up)) (PP (IN over) (NP (DT a) (NN forest))))))
"['contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction']",210711305.jpg#0,contradiction,210711305.jpg#0r1c,"A man and two women are walking down a wooded path, the man is pushing a young child in a three wheel carriage.","( ( ( ( ( A man ) and ) ( two women ) ) ( are ( ( walking down ) ( a ( wooded path ) ) ) ) ) ( , ( ( the man ) ( ( is ( pushing ( ( a ( young child ) ) ( in ( a ( three ( wheel carriage ) ) ) ) ) ) ) . ) ) ) )","(ROOT (S (S (NP (NP (DT A) (NN man)) (CC and) (NP (CD two) (NNS women))) (VP (VBP are) (VP (VBG walking) (PRT (RP down)) (NP (DT a) (JJ wooded) (NN path))))) (, ,) (NP (DT the) (NN man)) (VP (VBZ is) (VP (VBG pushing) (NP (NP (DT a) (JJ young) (NN child)) (PP (IN in) (NP (DT a) (CD three) (NN wheel) (NN carriage)))))) (. .)))",Two guys kidnap a woman.,( ( Two guys ) ( ( kidnap ( a woman ) ) . ) ),(ROOT (S (NP (CD Two) (NNS guys)) (VP (VB kidnap) (NP (DT a) (NN woman))) (. .)))
