label,sentence1,sentence2
2,"A man wearing a hat, glasses and a painted mustache standing in a crowd of Asian people holding up a stick.",The man is lackadaisically posing for the photo with his cane in the air.
2,A band is playing on stage at a concert and the attendants are dancing to the music.,The party totally rocks.
2,Two women with long hair are walking on a sidewalk under an overpass.,They are very busy with their journey.
2,"A man in an apron sits at a table in front of a restaurant, while another man crosses the street with a purple gift bag and rolling luggage.",The two men watch each other's movements.
2,Two entertainers on a stage performing acrobatic moves.,The artists are very supple during their acrobatic contortion.
2,"Little girl and older male, holding hands and walking on train tracks.",The child's hand keeps slipping out of the man's grasp.
2,Young man with a beard is sitting on the edge of the bed reading a manual.,The man is straining to read the instructions.
2,A girl in a pink shirt is teaching a young man in a striped sweater how to knit.,The man's knitting leaves a lot to be desired.
2,An older man indulging in a bottle of amber liquid.,The amber liquid is edible.
2,A group of Chinese people are relaxing in the water.,A tour group relaxes in the pool water.
2,"Grilling ribs, chicken kabobs, and vegetable kabobs.",We are extremely fond of street food.
2,A woman wearing a red hat and black coat.,The lady is extremely well dressed.
2,An Asian woman is looking at the camera while trimming asparagus.,She is probably mildly allergic to asparagus.
0,"A group of people dressed as a wizard, queen, and possibly a lobster smiling and looking at the camera.",The crustacean is surrounded by people in non-medieval costumes.
0,Three women wearing belly dancing costumes are pictured in color while the background of the shot is in black and white.,The dancers form a splash of color in front of a beige backdrop.
0,A Korean gentlemen kicks up his leg.,The Korean man is languidly moving his leg.
0,A guy tries to climb a stone cliff while his friend helps him.,The duo are engaged in admiration of the view from the cliff top.
0,A boy with a basketballs glowers at the camera.,The boy's eyes hold an intense look of inspection.
0,"Boy, of age approximately 10 years old, lunging into pristine pool on hot summer day.",The pristine pool is very shallow for lunging.
0,Man in red shirt about to have a barbecue,The barbecue is all set for the boy to roast patties on.
0,Two wrestlers jump in a ring while an official watches.,The wrestlers are too tired to fight in the ring.
0,A black dog running in the snow by some trees.,The dog is in pursuit of its tail.
0,Weekend barbecue with some fish.,The weekend dinner is hallmarked by candied meat.
0,An Asian woman in a red skirt sits near the ground with another woman standing next to her.,The sitting woman was unaccompanied.
0,Blond woman wearing a red shirt and white pants stands on a garbage can as she holds a camera.,She is engaged in recording a racoon inside the garbage can.
0,Two girls smile for the camera.,Their faces show no discernible expression.
0,A man wearing a plaid shirt and brown apron is standing in front of an open fire.,The man wishes that the room was warmer.
0,A man takes a nap on the sidewalk in a busy city.,He is absolutely refreshed after his earlier sidewalk nap.
0,A girl with black hair and a green shirt has taken several bites from a fresh green apple.,The girl only eats golden delicious apples.
0,A black limousine in front of a marble building with a crowd of people on the buildings steps.,The limo has pulled away from the marble building.
0,A man in a hat stands in front of a brick wall.,The man's head must be feeling quite cold.
0,Two men and three women are sitting at a rectangular wooden table drinking beer from glasses of various shapes.,The draft beer is exceedingly bad in taste.
0,"A man walking into a shadow, holding a sign.",He emerges from the shadows.
0,"A group of teenagers are standing in front of some tents, most of them are holding skateboards.",They must not enjoy skateboarding that much.
0,A blond man stands next to a cement mixer with mountains in the background.,He is quite scared of loud noises.
0,A man wearing glasses and a dark coat looks at something to the left of the picture.,The man is very carefully looking at the picture.
