label,sentence1,sentence2
2,"Two competitors in the last leg of a race, strong legs, long strides to the end.",The runners are struggling to finish the race.
2,"Lonely woman eats alone again, chatting with her internet boyfriend at a diner.",The man is in a different time zone.
2,a young girl in red lifting a girl in blue to the top of a wall and lighting.,The second girl is younger than the first.
2,A gentleman in a striped shirt gesturing with a stick-like object in his hand while passersby stare at him.,A man is sticking his hand out with a cane.
2,Several firemen stand or sit on a gray roof while working.,The sitting firemen are older.
2,A man and a woman are out walking their dogs.,The man and woman know each other.
2,City workers in bright yellow and green safety suits haul a stack of traffic cones through the snow and past the tree trunk.,The workers are removing cones to make way for the snow plough.
2,A man in swimming trunks plays in the ocean's waves.,The man has fallen off a surfboard.
2,"A snowboarder in a red jacket flies through the air, above a hill of snow, and next to a red and white sign.",The jacket blends in with the sign.
2,"A person playing a drum with only their lower torso, hands, drumsticks, and drum showing in the foreground.",The drummer is in the zone.
2,A woman singer holding a microphone singing at a concert.,The crowd is going wild.
2,A gentleman carrying the 2012 Olympic torch being follow by a car on a people lined street.,The crowd cheers for the car.
2,A boy is outside jumping over a flower bush on a skateboard.,He isn't a very experienced skater.
2,"A curly-haired redhead is wearing a blue checkered hat, a black long-sleeve shirt, and blue jeans while holding a red jacket as she speaks to her friends standing behind her.",She has had an argument with her friends and is leaving.
2,A small group of adults and children stand on a cobblestone street outside of an Irish pub.,The children aren't allowed inside.
2,"The people driving the tiny white car were nearly hit by the train, but it had fortunately stopped just in time.",
0,A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background.,A man is hit by a double decker.
0,A shirtless man is singing into a microphone while a woman next to him plays an accordion.,The man is waiting for his turn at karaoke.
0,Women and children sitting outside in the shade while a group of younger children sitting inside in the shade.,The family is relaxing on a rainy day.
0,A pregnant lady singing on stage while holding a flag behind her.,An expectant father is performing on television.
0,The two farmers are working on a piece of John Deere equipment.,The farmers are tired and are playing cards.
0,A little boy in a blue shirt holding a toy.,The boy is helping his parents with groceries.
0,A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes.,The woman doesn't know how to write.
0,A baby at the end of a slip and slide at a party,A child is bone dry.
0,A girl swings high in the air.,Her heart beats fast in fear.
0,A view of the back of a woman having a beverage.,The lady spills her drink on her dining companion.
0,A lady sitting on a bench that is against a building and under a poster of a man in a uniform waving.,A lady is kickboxing at a studio.
0,A man with a shopping cart is studying the shelves in a supermarket aisle.,A woman loved ordering her produce online every fortnight.
0,"A man wearing sunglasses is sitting on the steps outside, reading a magazine.",It’s raining very heavily as he's reading.
0,"A woman sitting outside weaving a long piece of red, white, and blue cloth.",A seamstress wants to burn some calories.
0,A person powerwashing stairs leading down to a pool.,The stairs are still slimy.
0,A person rides his bicycle in the sand beside the ocean.,Bikes can't be ridden on soft surfaces.
0,"Two black little boys hanging over an upside down bicycle, one examining the pedal.",Kids are giving their bikes a coat of anti-rust paint before monsoon sets in.
0,A brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background.,Dogs hate staying still for even a moment.
0,A group of people prepare hot air balloons for takeoff.,A crowd is watching fireworks at Disneyland.
0,Men stand on steps leading out of a body of water,The swimmers are in formation to dive headfirst.
0,A group of young people with instruments are on stage.,A football team is lounging in the locker room.
0,A long-beaked bird in mid-flight.,A toucan preens itself on a branch.
0,A man in the middle east with a corn-on-the-cob cart selling corn.,An Asian man is trying to grow a rare flower.
