label,sentence1,sentence2
2,Child squirting paint onto a piece of spin-art.,A child spills paint.
2,Two police officers are sitting on motorcycles in the road.,The police are looking at the crowd.
2,A man is performing an aerial skateboard trick on a ramp with several other people behind him.,The crowd is bored with the man's trick.
2,Two children in a bag race competing against each other while another boy watches on.,The boy watching is jealous.
2,A man is herding horned cows on a horse.,The man has forgotten to wear spurs.
0,Two women are embracing while holding to go packages.,The ladies are holding both each other and some takeout.
0,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",Two kids in sports jumpers are sitting on steps.
0,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,A man is buying tickets to a world series game.
0,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",Girls play golf with hats on.
0,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.,A man stands under a blue sky in a red shirt.
0,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",A baby is playing with a toy helicopter.
0,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.,A woman can't do a cartwheel at the beach and gets sand in her mouth.
0,A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him.,They collide while ice skating in January.
0,Two men on bicycles competing in a race.,Some people are eating dinner.
0,A young boy in a field of flowers carrying a ball,A girl in a lake is carrying fish.
0,Families waiting in line at an amusement park for their turn to ride.,The rollercoaster closed early due to rain.
0,A group of onlookers glance at a person doing a strange trick on her head.,The magician has a bunny under her hat.
0,The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf.,One woman borrows a headscarf from the other.
0,A senior is waiting at the window of a restaurant that serves sandwiches.,A man juggles oranges while waiting for his drink.
0,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.",The band is wearing floral shirts in the summer festival.
0,Two women having drinks and smoking cigarettes at the bar.,Two women are smoking and drinking at home.
0,"At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.",A crowd puts on a dragon costume.
0,Two doctors perform surgery on patient.,Two surgeons watch the patient doing surgery.
0,A white dog with long hair jumps to catch a red and green toy.,A white dog has a haircut.
0,Kids are on a amusement ride.,The kids are waiting in line for a ride.
0,A man in a black shirt is playing golf outside.,A man in a blue shirt swims inside.
0,A older gentleman finds it humorous that he is getting his picture taken while doing his laundry.,A baby gets his picture taken at the laundromat.
0,An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake.,An Indian woman jumps into the lake.
