label,sentence1,sentence2
0,A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background.,A man is wearing a black shirt
0,A shirtless man is singing into a microphone while a woman next to him plays an accordion.,He is playing a saxophone.
0,Women and children sitting outside in the shade while a group of younger children sitting inside in the shade.,The woman is running.
0,A pregnant lady singing on stage while holding a flag behind her.,A woman is sick in bed.
0,The two farmers are working on a piece of John Deere equipment.,2 Men are making a pool together
0,A little boy in a blue shirt holding a toy.,Boy dressed in red lighting things on fire.
0,A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes.,The woman is talking on the phone.
0,A baby at the end of a slip and slide at a party,The man is at the end of the slip and slide
0,A girl swings high in the air.,A girl is laying in the pool
0,A view of the back of a woman having a beverage.,woman dumps the drink on a man
0,A lady sitting on a bench that is against a building and under a poster of a man in a uniform waving.,Nobody is sitting
0,A man with a shopping cart is studying the shelves in a supermarket aisle.,A man is watching a movie in a theater.
0,"A man wearing sunglasses is sitting on the steps outside, reading a magazine.","The man is reading a spoon with the words ""HELP ME"" on it."
0,"A woman sitting outside weaving a long piece of red, white, and blue cloth.",He is jumping over a house
0,A person powerwashing stairs leading down to a pool.,a dog chases a cat
0,A person rides his bicycle in the sand beside the ocean.,A person is falling off his bike.
0,"Two black little boys hanging over an upside down bicycle, one examining the pedal.",Someone is riding a bike.
0,A brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background.,The pets are sleeping on the grass.
0,A group of people prepare hot air balloons for takeoff.,A group of people prepare cars for racing.
0,Men stand on steps leading out of a body of water,Men are sitting outside near a golf course.
0,A group of young people with instruments are on stage.,Young people are playing water polo.
0,A long-beaked bird in mid-flight.,A rat running on a wheel.
0,A man in the middle east with a corn-on-the-cob cart selling corn.,A middle east man is throwing corn at strangers.
